Date,Tweet_id,Username,Tweet,no_of_replies,no_of_retweets,no_oflikes
2021-12-31 23:47:17+00:00,1.47706E+18,NataliaAlGhoul,"@Dangan_Trash No, the fifa world cup, the baman, the flash all are happening this year",0,0,0
2021-12-31 23:27:49+00:00,1.47706E+18,FCBayernGER,"📸 Leaked image of the Adidas 2022 FIFA World Cup ball called ""Rihla"", Which is the Arabic word for a journey or the travelogue that documents it

@Footy_Headlines https://t.co/vMcMWp49aS",0,0,0
2021-12-31 23:27:12+00:00,1.47706E+18,iMiaSanMia,"📸 Leaked image of the Adidas 2022 FIFA World Cup ball called ""Rihla"", Which is the Arabic word for a journey or the travelogue that documents it [Footy Headlines] https://t.co/BMEqsoInfn",23,41,732
2021-12-31 23:25:16+00:00,1.47706E+18,sportnewsblogd1,"Happy New Year 2022 For Sports Fans: FIFA World Cup, Cricket World Cups, Asian Games Headline Annual Calendar https://t.co/YpFQyuemP8",0,0,0
2021-12-31 23:19:54+00:00,1.47706E+18,GOALcomSA,"Happy 2022 🎂🎊🥂

The year of the Africa Cup of Nations 🏆
The year of the Fifa World Cup 🏆 https://t.co/va1wK3rb6m",0,1,7
2021-12-31 23:19:53+00:00,1.47706E+18,swtvintca,welcome 2022 🤩 can't wait to FIFA World Cup Qatar 🙌😍🥰 https://t.co/11IWOpcGp5,1,0,0
2021-12-31 23:18:07+00:00,1.47706E+18,NiceTeeth_Vic,"@KL0PP10 @arabnews Not a football person but imagine if Liverpool and Manchester United(I assume they don't like each other) came together and formed a team, and won the fifa World Cup. Doesn't make sense right! Exactly my point :-/",1,0,3
2021-12-31 23:15:51+00:00,1.47706E+18,teddi_speaks,My only wish for 2022 is to attend the Fifa world cup.,0,0,3
2021-12-31 23:11:26+00:00,1.47705E+18,BrettParnell463,@EURO2024 That I get to see this man lead my country into a FIFA World Cup. https://t.co/UvaaXoVrS6,0,0,2
2021-12-31 23:06:17+00:00,1.47705E+18,SamSportsTalk95,I’m thinking of going to report on the latter stages of the FIFA World Cup in 2022! Should I do this? 🤔 #Qatar2022 #WorldCup2022,1,0,0
2021-12-31 23:03:21+00:00,1.47705E+18,BeFootball4,Modern day full-back Terrence Mashego playing a major role in helping us defeat Ethiopia in a FIFA World Cup Qualifiers clash. 🇿🇦 https://t.co/dfVTNEoW0w,1,3,30
2021-12-31 23:00:02+00:00,1.47705E+18,sportstriviabot,"Which country will host the 2022 FIFA World Cup?

A: Switzerland
B: Japan
C: USA
D: Qatar",0,0,0
2021-12-31 22:42:34+00:00,1.47705E+18,gareths66,"Seeing plenty of “hope” for the new year. Just like to remind you the Winter Olympics is in China and the FIFA World Cup is in Qatar, so don’t expect it to be a great year for Human Rights.",0,0,0
2021-12-31 22:41:39+00:00,1.47705E+18,HenryHSports,"No better way than ending the year with a special message from a former Premier League winner and FIFA World Cup finalist 🥳 Happy New Year everyone #WeLiveFootball 

https://t.co/fVmi7rhbXo",0,0,0
